Time;x;y;z;acc;temp;lumen
Time;x;y;z;total;;temp;lumen
92340;-0,54;-0,24;-0,25;0,4117;0,91975;22,82;0
92845;-1,29;-0,3;-0,61;2,1262;1,058825;22,82;0
93348;-0,76;0,22;0,31;0,7221;1,0560125;22,82;0
93853;-0,55;-0,13;-0,3;0,4094;1,024075;22,82;0
94358;-1,61;-1,37;0;4,469;1,490475;22,82;0
94863;-0,34;-0,32;0;0,218;1,4480125;22,82;1
95367;-2,4;0,44;-0,41;6,1217;1,975175;22,82;1
95872;0,06;0,15;-0,01;0,0262;1,8130375;22,82;0
96376;-3,28;-2,29;-2,45;22,005;4,5122;22,82;1
96881;-0,05;-0,2;0,37;0,1794;4,26885;22,82;0
97385;-3,77;0,2;-0,77;14,8458;6,0343125;22,82;0
97890;0,07;0,08;-0,07;0,0162;5,9851625;22,82;0
98395;-4,16;-2,35;-1,72;25,7865;8,64985;22,82;0
98899;-0,13;-0,18;0,05;0,0518;8,629075;22,82;0
99403;-2,56;0,1;-0,93;7,4285;8,792425;22,82;0
99908;-0,17;0,15;-0,13;0,0683;8,7976875;22,82;0
100413;-2,94;-2,18;-0,87;14,1529;7,816175;22,71;0
100918;-0,26;-0,27;-0,21;0,1846;7,816825;22,71;0
101422;-0,03;0,02;0,03;0,0022;5,961375;22,71;0
101926;-2,88;-0,9;-0,38;9,2488;7,11545;22,82;0
102431;-0,72;-0,34;-0,34;0,7496;3,9858375;22,71;0
102936;0,01;0,05;0,03;0,0035;3,9798;22,71;0
103441;-3,73;-2,11;-1,85;21,7875;5,774675;22,71;0
103945;-0,18;-0,31;0,05;0,131;5,7825125;22,71;0
104450;-0,59;0,26;0,45;0,6182;4,090675;22,71;0
104954;-0,9;-0,08;-0,54;1,108;4,2061;22,71;0
105459;-0,16;-0,27;0,22;0,1469;4,2241875;22,71;0
105964;-3,56;0,32;-0,39;12,9281;4,6841;22,82;0
106468;-0,22;0,12;-0,1;0,0728;4,5995;22,71;0
106973;-0,79;-0,52;0,3;0,9845;4,722125;22,82;0
107478;-0,3;-0,26;-0,05;0,1601;2,0187;22,71;0
107982;-0,22;0,04;-0,03;0,0509;2,0086875;22,71;0
108487;-0,39;0,03;-0,27;0,2259;1,95965;22,71;0
108991;-0,14;-0,24;0,5;0,3272;1,86205;22,71;0
109496;-1,15;-0,34;-0,62;1,8225;2,0715;22,71;1
110001;-0,54;0,11;-0,23;0,3566;0,5000625;22,82;0
110505;-0,74;-0,37;-0,31;0,7806;0,5885375;22,71;0
111009;-0,74;-0,04;-0,3;0,6392;0,545375;22,71;0
111514;-0,86;-0,37;-0,32;0,9789;0,647725;22,71;0
112019;-1,1;-0,13;-0,24;1,2845;0,801925;22,71;0
112524;-1,11;-0,02;-0,22;1,2809;0,9338;22,71;0
113029;-1,01;-0,47;-0,14;1,2606;1,050475;22,71;0
113533;-0,81;-0,24;-0,2;0,7537;0,916875;22,71;0
114037;-0,94;-0,4;0,12;1,058;1,00455;22,71;0
114542;-0,95;-0,41;0,05;1,0731;1,0411125;22,71;0
115047;-0,96;-0,43;0,03;1,1074;1,0996375;22,71;0
115552;-0,93;-0,41;0,05;1,0355;1,1067125;22,71;0
116056;-0,92;-0,46;0,08;1,0644;1,0792;22,71;0
116560;-0,86;-0,34;0,17;0,8841;1,0296;22,71;0
117065;-0,95;-0,38;0,25;1,1094;1,0107;22,71;0
117570;-0,91;-0,35;0,24;1,0082;1,0425125;22,82;0
118075;-0,94;-0,4;0,17;1,0725;1,044325;22,82;0
118580;-0,9;-0,38;0,2;0,9944;1,0344875;22,71;0
119084;-0,9;-0,41;0,2;1,0181;1,023325;22,82;0
119588;-0,96;-0,42;0,05;1,1005;1,03145;22,82;1
120093;-0,97;-0,47;-0,16;1,1874;1,046825;22,82;0
120598;-0,92;-0,17;-0,3;0,9653;1,056975;22,82;0
121103;-0,93;-0,18;-0,2;0,9373;1,0354625;22,82;0
121607;-0,99;-0,06;-0,22;1,0321;1,03845;22,82;0
122112;-0,99;-0,1;-0,25;1,0526;1,0359625;22,82;0
122616;-1;-0,11;-0,22;1,0605;1,044225;22,82;0
123121;-0,98;-0,09;-0,23;1,0214;1,0446375;22,82;0
123626;-1;-0,11;-0,25;1,0746;1,0414;22,82;0
124130;-1;-0,13;-0,21;1,061;1,0256;22,82;0
124635;-0,99;-0,1;-0,23;1,043;1,0353125;22,82;0
